Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),RatioSD,Rank,Package Energy (uJ/op),Package Energy (uJ/iter)
SpanJson_Deserialize_Large,Overhead-Fixed-Energy-3,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"151,632.5 ns",181.94 ns,170.18 ns,"6,619",15.00,0.75,Faster,0.00,1,12499.92 uj,82736942.40 uj
STJ_Deserialize_Large,Overhead-Fixed-Energy-3,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"202,500.0 ns",460.08 ns,430.36 ns,"4,944",15.00,1.00,Baseline,0.00,2,16804.55 uj,83081696.40 uj
Jil_Deserialize_Large,Overhead-Fixed-Energy-3,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"213,108.1 ns",285.62 ns,267.17 ns,"4,718",15.00,1.05,Slower,0.00,3,17772.34 uj,83849895.07 uj
Newtonsoft_Deserialize_Large,Overhead-Fixed-Energy-3,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"243,242.3 ns","1,181.12 ns","1,104.82 ns","4,128",15.00,1.20,Slower,0.01,4,20486.26 uj,84567292.47 uj
Utf8Json_Deserialize_Large,Overhead-Fixed-Energy-3,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"278,319.7 ns",320.49 ns,299.78 ns,"3,664",15.00,1.37,Slower,0.00,5,22900.79 uj,83908497.07 uj
SpanJson_Deserialize_Medium,Overhead-Fixed-Energy-3,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"39,287.0 ns",76.67 ns,71.72 ns,"25,485",15.00,0.75,Faster,0.00,1,3244.05 uj,82674487.20 uj
STJ_Deserialize_Medium,Overhead-Fixed-Energy-3,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"52,710.5 ns",111.20 ns,104.01 ns,"19,008",15.00,1.00,Baseline,0.00,2,4455.92 uj,84698131.07 uj
Jil_Deserialize_Medium,Overhead-Fixed-Energy-3,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"55,704.5 ns",112.24 ns,104.99 ns,"17,920",15.00,1.06,Slower,0.00,3,4467.52 uj,80057949.33 uj
Utf8Json_Deserialize_Medium,Overhead-Fixed-Energy-3,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"62,125.7 ns",206.41 ns,193.08 ns,"16,080",15.00,1.18,Slower,0.00,4,5224.38 uj,84008053.00 uj
Newtonsoft_Deserialize_Medium,Overhead-Fixed-Energy-3,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"68,281.5 ns",332.87 ns,311.36 ns,"14,704",15.00,1.30,Slower,0.01,5,5786.76 uj,85088543.40 uj
