Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),RatioSD,Rank
SpanJson_Deserialize_Large,Overhead-Fixed-NoEnergy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"151,150.8 ns",219.15 ns,204.99 ns,"6,614",15.00,0.75,Faster,0.00,1
STJ_Deserialize_Large,Overhead-Fixed-NoEnergy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"202,345.9 ns",713.75 ns,667.64 ns,"4,960",15.00,1.00,Baseline,0.00,2
Jil_Deserialize_Large,Overhead-Fixed-NoEnergy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"213,030.1 ns",356.05 ns,333.05 ns,"4,693",15.00,1.05,Slower,0.00,3
Newtonsoft_Deserialize_Large,Overhead-Fixed-NoEnergy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"238,231.2 ns",136.72 ns,127.89 ns,"4,208",15.00,1.18,Slower,0.00,4
Utf8Json_Deserialize_Large,Overhead-Fixed-NoEnergy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"285,396.0 ns","2,234.64 ns","2,090.29 ns","3,504",15.00,1.41,Slower,0.01,5
SpanJson_Deserialize_Medium,Overhead-Fixed-NoEnergy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"41,300.0 ns",48.12 ns,45.01 ns,"24,220",15.00,0.78,Faster,0.00,1
STJ_Deserialize_Medium,Overhead-Fixed-NoEnergy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"52,883.8 ns",75.12 ns,70.27 ns,"18,944",15.00,1.00,Baseline,0.00,2
Jil_Deserialize_Medium,Overhead-Fixed-NoEnergy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"55,811.3 ns",56.48 ns,52.83 ns,"17,914",15.00,1.06,Slower,0.00,3
Utf8Json_Deserialize_Medium,Overhead-Fixed-NoEnergy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"63,537.6 ns",54.24 ns,50.74 ns,"15,744",15.00,1.20,Slower,0.00,4
Newtonsoft_Deserialize_Medium,Overhead-Fixed-NoEnergy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"67,726.4 ns",123.90 ns,115.89 ns,"14,816",15.00,1.28,Slower,0.00,5
