run_id,condition,EnergyDiagnoser,run_time_sec,global_time_sec,log_path
1,Energy,Enabled,818.58,829.36,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run01_Energy/run01_Energy.log
1,NoEnergy,Disabled,814.49,825.24,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run01_NoEnergy/run01_NoEnergy.log
2,Energy,Enabled,819.96,830.58,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run02_Energy/run02_Energy.log
2,NoEnergy,Disabled,807.04,819.91,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run02_NoEnergy/run02_NoEnergy.log
3,Energy,Enabled,825.49,836.24,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run03_Energy/run03_Energy.log
3,NoEnergy,Disabled,820.17,833.09,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run03_NoEnergy/run03_NoEnergy.log
4,Energy,Enabled,827.63,840.29,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run04_Energy/run04_Energy.log
4,NoEnergy,Disabled,800.36,811.1,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run04_NoEnergy/run04_NoEnergy.log
5,Energy,Enabled,831.53,844.22,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run05_Energy/run05_Energy.log
5,NoEnergy,Disabled,812.8,823.56,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run05_NoEnergy/run05_NoEnergy.log
6,Energy,Enabled,837.44,849.36,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run06_Energy/run06_Energy.log
6,NoEnergy,Disabled,811.53,822.3,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run06_NoEnergy/run06_NoEnergy.log
7,Energy,Enabled,802.87,813.69,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run07_Energy/run07_Energy.log
7,NoEnergy,Disabled,818.22,828.96,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run07_NoEnergy/run07_NoEnergy.log
8,Energy,Enabled,822.37,833.06,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run08_Energy/run08_Energy.log
8,NoEnergy,Disabled,798.87,811.51,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run08_NoEnergy/run08_NoEnergy.log
9,Energy,Enabled,824.01,834.76,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run09_Energy/run09_Energy.log
9,NoEnergy,Disabled,811.98,824.89,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run09_NoEnergy/run09_NoEnergy.log
10,Energy,Enabled,821.96,832.68,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run10_Energy/run10_Energy.log
10,NoEnergy,Disabled,809.05,821.76,/home/toms/dev/lib-energy-bench/src/Serialization.Bench/data/overhead/run10_NoEnergy/run10_NoEnergy.log
