run_id,run_time_sec_Enabled,run_time_sec_Disabled,global_time_sec_Enabled,global_time_sec_Disabled,diff_run_time_sec,diff_global_time_sec
1,818.58,814.49,829.36,825.24,4.090000000000032,4.1200000000000045
2,819.96,807.04,830.58,819.91,12.920000000000073,10.670000000000073
3,825.49,820.17,836.24,833.09,5.32000000000005,3.1499999999999773
4,827.63,800.36,840.29,811.1,27.269999999999982,29.18999999999994
5,831.53,812.8,844.22,823.56,18.730000000000018,20.660000000000082
6,837.44,811.53,849.36,822.3,25.910000000000082,27.06000000000006
7,802.87,818.22,813.69,828.96,-15.350000000000023,-15.269999999999982
8,822.37,798.87,833.06,811.51,23.5,21.549999999999955
9,824.01,811.98,834.76,824.89,12.029999999999973,9.870000000000005
10,821.96,809.05,832.68,821.76,12.910000000000082,10.919999999999959
