Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),RatioSD,Rank,Package Energy (uJ/op),Package Energy (uJ/iter)
SpanJson_Deserialize_Large,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"150,045.0 ns",161.45 ns,151.02 ns,"6,671",15.00,0.74,Faster,0.00,1,12358.91 uj,82446305.80 uj
STJ_Deserialize_Large,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"201,744.9 ns",498.60 ns,466.40 ns,"4,960",15.00,1.00,Baseline,0.00,2,16501.61 uj,81847992.00 uj
Jil_Deserialize_Large,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"213,320.7 ns",317.23 ns,296.74 ns,"4,700",15.00,1.06,Slower,0.00,3,17767.90 uj,83509128.67 uj
Newtonsoft_Deserialize_Large,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"239,648.4 ns",414.73 ns,387.94 ns,"4,192",15.00,1.19,Slower,0.00,4,20189.06 uj,84632542.73 uj
Utf8Json_Deserialize_Large,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"278,217.6 ns",276.92 ns,259.03 ns,"3,632",15.00,1.38,Slower,0.00,5,22883.24 uj,83111925.07 uj
SpanJson_Deserialize_Medium,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"40,623.7 ns",151.74 ns,141.93 ns,"24,663",15.00,0.76,Faster,0.00,1,3360.34 uj,82876150.93 uj
STJ_Deserialize_Medium,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"53,351.6 ns",34.96 ns,32.70 ns,"18,816",15.00,1.00,Baseline,0.00,2,4518.15 uj,85013454.20 uj
Jil_Deserialize_Medium,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"55,027.6 ns",87.38 ns,81.74 ns,"18,207",15.00,1.03,Same,0.00,3,4455.93 uj,81129060.87 uj
Utf8Json_Deserialize_Medium,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"63,358.5 ns",86.76 ns,81.16 ns,"15,792",15.00,1.19,Slower,0.00,4,5320.99 uj,84029146.87 uj
Newtonsoft_Deserialize_Medium,Overhead-Fixed-Energy-4,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"68,033.1 ns",89.41 ns,83.63 ns,"14,768",15.00,1.28,Slower,0.00,5,5798.53 uj,85632634.27 uj
